a	/ə/	ipa
aah	/ˈɑː/	ipa
aardvark	/ˈɑːdvɑːk/	ipa
aardvarks	/ˈɑːdvɑːks/	ipa
aardwolf	/ˈɑːdwʊlf/	ipa
aba	/ɐbˈæ/	ipa
abaca	/æbˈækɐ/	ipa
aback	/ɐbˈæk/	ipa
abacus	/ˈæbækəs/	ipa
abacuses	/ˈæbɐkəsɪz/	ipa
abalone	/ɐbˈæləʊn/	ipa
abandon	/ɐbˈændən/	ipa
abandoned	/ɐbˈændənd/	ipa
abandoning	/ɐbˈændənɪŋ/	ipa
abandonment	/ɐbˈændənmənt/	ipa
abandons	/ɐbˈændənz/	ipa
abas	/ɐbˈæz/	ipa
abase	/ɐbˈeɪs/	ipa
abasement	/ɐbˈeɪsmənt/	ipa
abashed	/ɐbˈæʃt/	ipa
abate	/ɐbˈeɪt/	ipa
abated	/ɐbˈeɪtɪd/	ipa
abatement	/ɐbˈeɪtmənt/	ipa
abates	/ɐbˈeɪts/	ipa
abating	/ɐbˈeɪtɪŋ/	ipa
abattoir	/ˈæbɐtwˌɑː/	ipa
abattoirs	/ˈæbɐtwˌɑːz/	ipa
abba	/ˈæbɐ/	ipa
abb	/ˈæb/	ipa
abbess	/ˈæbɛs/	ipa
abbesses	/ˈæbɛsɪz/	ipa
abbey	/ˈæbi/	ipa
abbeys	/ˈæbiz/	ipa
abbot	/ˈæbət/	ipa
abbots	/ˈæbəts/	ipa
abbreviate	/ɐbɹˈiːvɪˌeɪt/	ipa
abbreviated	/ɐbɹˈiːvɪˌeɪtɪd/	ipa
abbreviates	/ɐbɹˈiːvɪˌeɪts/	ipa
abbreviating	/ɐbɹˈiːvɪˌeɪtɪŋ/	ipa
abbreviation	/ɐbɹˌiːvɪˈeɪʃən/	ipa
abbreviations	/ɐbɹˌiːvɪˈeɪʃənz/	ipa
abdicate	/ˈæbdɪkˌeɪt/	ipa
abdicated	/ˈæbdɪkˌeɪtɪd/	ipa
abdicates	/ˈæbdɪkˌeɪts/	ipa
abdicating	/ˈæbdɪkˌeɪtɪŋ/	ipa
abdication	/ˌæbdɪkˈeɪʃən/	ipa
abdomen	/ˈæbdəmən/	ipa
abdomens	/ˈæbdəmənz/	ipa
abdominal	/æbdˈɒmɪnəl/	ipa
abduct	/ɐbdˈʌkt/	ipa
abducted	/ɐbdˈʌktɪd/	ipa
abducting	/ɐbdˈʌktɪŋ/	ipa
abduction	/ɐbdˈʌkʃən/	ipa
abductions	/ɐbdˈʌkʃənz/	ipa
abductor	/ɐbdˈʌktɐ/	ipa
abductors	/ɐbdˈʌktəz/	ipa
abducts	/ɐbdˈʌkts/	ipa
abeam	/ɐbˈiːm/	ipa
abed	/ɐbˈɛd/	ipa
aberrant	/ɐbˈɛɹənt/	ipa
aberration	/ˌæbəɹˈeɪʃən/	ipa
aberrations	/ˌæbəɹˈeɪʃənz/	ipa
abet	/ɐbˈɛt/	ipa
abetted	/ɐbˈɛtɪd/	ipa
abetting	/ɐbˈɛtɪŋ/	ipa
abeyance	/ɐbˈeɪəns/	ipa
abhor	/ɐbhˈɔː/	ipa
abhorred	/ɐbhˈɔːd/	ipa
abhorrence	/ɐbhˈɒɹəns/	ipa
abhorrent	/ɐbhˈɒɹənt/	ipa
abhorring	/ɐbhˈɔːɹɪŋ/	ipa
abhors	/ɐbhˈɔːz/	ipa
abide	/ɐbˈaɪd/	ipa
abided	/ɐbˈaɪdɪd/	ipa
abides	/ɐbˈaɪdz/	ipa
abiding	/ɐbˈaɪdɪŋ/	ipa
abies	/ɐbˈaɪz/	ipa
abigail	/ˈæbɪɡˌeɪl/	ipa
abilities	/ɐbˈɪlətˌiz/	ipa
ability	/ɐbˈɪlətˌi/	ipa
abjection	/æbdʒˈɛkʃən/	ipa
abjectly	/ˈæbdʒɛktli/	ipa
abjure	/ɐbdʒjˈɔː/	ipa
ablation	/ɐblˈeɪtiən/	ipa
ablaze	/ɐblˈeɪz/	ipa
able	/ˈeɪbəl/	ipa
abler	/ˈeɪblɐ/	ipa
ablest	/ˈeɪbləst/	ipa
ablution	/ɐblˈuːʃən/	ipa
ablutions	/ɐblˈuːʃənz/	ipa
ably	/ˈeɪbli/	ipa
abnegate	/ˈæbnɪɡˌeɪt/	ipa
abnegation	/ˌæbnɪɡˈeɪʃən/	ipa
abnormal	/ɐbnˈɔːməl/	ipa
abnormalities	/ɐbnɔːmˈælɪtiz/	ipa
abnormality	/ɐbnɔːmˈælɪti/	ipa
abnormally	/ɐbnˈɔːməli/	ipa
aboard	/ɐbˈɔːd/	ipa
abode	/ɐbˈəʊd/	ipa
abodes	/ɐbˈəʊdz/	ipa
abolish	/ɐbˈɒlɪʃ/	ipa
abolished	/ɐbˈɒlɪʃt/	ipa
abolishes	/ɐbˈɒlɪʃɪz/	ipa
abolishing	/ɐbˈɒlɪʃɪŋ/	ipa
abolishment	/ɐbˈɒlɪʃmənt/	ipa
abolition	/ˌæbəlˈɪʃən/	ipa
abolitionist	/ˌæbəlˈɪʃənˌɪst/	ipa
abolitionists	/ˌæbəlˈɪʃənˌɪsts/	ipa
abominable	/ɐbˈɒmɪnəbəl/	ipa
abominably	/ɐbˈɒmɪnəbli/	ipa
abominate	/ɐbˈɒmɪnˌeɪt/	ipa
abominated	/ɐbˈɒmɪnˌeɪtɪd/	ipa
abomination	/ɐbˌɒmɪnˈeɪʃən/	ipa
abominations	/ɐbˌɒmɪnˈeɪʃənz/	ipa
abominator	/ɐbˈɒmɪnˌeɪtɐ/	ipa
aboriginal	/ˌæbəɹˈɪdʒɪnəl/	ipa
aboriginals	/ˌæbəɹˈɪdʒɪnəlz/	ipa
aborigine	/ˌæbəɹˈɪdʒənˌi/	ipa
aborigines	/ˌæbəɹˈɪdʒənˌiz/	ipa
abort	/ɐbˈɔːt/	ipa
aborted	/ɐbˈɔːtɪd/	ipa
aborting	/ɐbˈɔːtɪŋ/	ipa
abortion	/ɐbˈɔːʃən/	ipa
abortionist	/ɐbˈɔːʃənˌɪst/	ipa
abortionists	/ɐbˈɔːʃənˌɪsts/	ipa
abortions	/ɐbˈɔːʃənz/	ipa
abortive	/ɐbˈɔːtɪv/	ipa
aborts	/ɐbˈɔːts/	ipa
abound	/ɐbˈaʊnd/	ipa
abounded	/ɐbˈaʊndɪd/	ipa
abounding	/ɐbˈaʊndɪŋ/	ipa
abounds	/ɐbˈaʊndz/	ipa
about	/ɐbˈaʊt/	ipa
above	/əbˈʌv/	ipa
abracadabra	/ˌæbɹəkədˈæbɹɐ/	ipa
abrade	/ɐbɹˈeɪd/	ipa
abraded	/ɐbɹˈeɪdɪd/	ipa
abrades	/ɐbɹˈeɪdz/	ipa
abrading	/ɐbɹˈeɪdɪŋ/	ipa
abrasion	/ɐbɹˈeɪʒən/	ipa
abrasions	/ɐbɹˈeɪʒənz/	ipa
abrasive	/ɐbɹˈeɪsɪv/	ipa
abrasiveness	/ɐbɹˈeɪsɪvnəs/	ipa
abrasives	/ɐbɹˈeɪsɪvz/	ipa
abraxas	/ɐbɹˈæksəs/	ipa
abreast	/ɐbɹˈɛst/	ipa
abri	/ɐbɹˈi/	ipa
abridged	/ɐbɹˈɪdʒd/	ipa
abridgement	/ɐbɹˈɪdʒmənt/	ipa
abroad	/ɐbɹˈɔːd/	ipa
